id,dimension_code,code,title,axiom,explanation,created_at,updated_at,worldly_example,spiritual_example,objectivity_statement,truth_property_primary
cp_mot_001,motive,MOT_001,討好驅動的付出,當討好主導動機時，行動容易脫離真心。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 討好驅動的付出 appears as repeated observable patterns in choices and consequences.","In consciousness, 討好驅動的付出 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_mot_002,motive,MOT_002,交易驅動的付出,當交易主導動機時，行動容易脫離真心。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 交易驅動的付出 appears as repeated observable patterns in choices and consequences.","In consciousness, 交易驅動的付出 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_mot_003,motive,MOT_003,補償驅動的付出,當補償主導動機時，行動容易脫離真心。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 補償驅動的付出 appears as repeated observable patterns in choices and consequences.","In consciousness, 補償驅動的付出 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_mot_004,motive,MOT_004,炫耀驅動的付出,當炫耀主導動機時，行動容易脫離真心。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 炫耀驅動的付出 appears as repeated observable patterns in choices and consequences.","In consciousness, 炫耀驅動的付出 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_mot_005,motive,MOT_005,恐懼驅動的付出,當恐懼主導動機時，行動容易脫離真心。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 恐懼驅動的付出 appears as repeated observable patterns in choices and consequences.","In consciousness, 恐懼驅動的付出 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_mot_006,motive,MOT_006,控制驅動的付出,當控制主導動機時，行動容易脫離真心。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 控制驅動的付出 appears as repeated observable patterns in choices and consequences.","In consciousness, 控制驅動的付出 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_mot_007,motive,MOT_007,匱乏驅動的付出,當匱乏主導動機時，行動容易脫離真心。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 匱乏驅動的付出 appears as repeated observable patterns in choices and consequences.","In consciousness, 匱乏驅動的付出 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_mot_008,motive,MOT_008,罪惡感驅動的付出,當罪惡感主導動機時，行動容易脫離真心。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 罪惡感驅動的付出 appears as repeated observable patterns in choices and consequences.","In consciousness, 罪惡感驅動的付出 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_mot_009,motive,MOT_009,認可驅動的付出,當認可主導動機時，行動容易脫離真心。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 認可驅動的付出 appears as repeated observable patterns in choices and consequences.","In consciousness, 認可驅動的付出 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_cog_001,cognition,COG_001,投射式解讀,認知一旦被投射綁架，事實就會被解釋成威脅。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 投射式解讀 appears as repeated observable patterns in choices and consequences.","In consciousness, 投射式解讀 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
