id,dimension_code,principle_code,title,statement,misbelief,truth_reframe,coach_prompt,tags,use_cases,source_doc,embedding_text,created_at,updated_at,truth_property_tags,verification_mode,fact_layer,reality_layer
tp_mot_001,motive,MOT_001,家庭對話中的討好盲點,在家庭對話中，表面上是在付出，實際上卻被討好推著走，讓對話逐漸失衡。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""家庭""]","[""家庭"", ""親子""]",TruthOS seed dataset,motive 動機 MOT_001 討好 家庭對話中的討好盲點 在家庭對話中，表面上是在付出，實際上卻被討好推著走，讓對話逐漸失衡。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 家庭 家庭 親子,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_002,motive,MOT_001,伴侶衝突中的討好盲點,在伴侶衝突中，表面上是在付出，實際上卻被討好推著走，讓界線變得模糊。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""伴侶""]","[""伴侶"", ""界線""]",TruthOS seed dataset,motive 動機 MOT_001 討好 伴侶衝突中的討好盲點 在伴侶衝突中，表面上是在付出，實際上卻被討好推著走，讓界線變得模糊。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 伴侶 伴侶 界線,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_003,motive,MOT_001,職場協作中的討好盲點,在職場協作中，表面上是在付出，實際上卻被討好推著走，讓責任位置變得混亂。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""職場""]","[""工作"", ""團隊""]",TruthOS seed dataset,motive 動機 MOT_001 討好 職場協作中的討好盲點 在職場協作中，表面上是在付出，實際上卻被討好推著走，讓責任位置變得混亂。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 職場 工作 團隊,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_004,motive,MOT_001,領導決策中的討好盲點,在領導決策中，表面上是在付出，實際上卻被討好推著走，使真正的需求被遮住。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""領導""]","[""領導"", ""決策""]",TruthOS seed dataset,motive 動機 MOT_001 討好 領導決策中的討好盲點 在領導決策中，表面上是在付出，實際上卻被討好推著走，使真正的需求被遮住。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 領導 領導 決策,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_005,motive,MOT_001,朋友互動中的討好盲點,在朋友互動中，表面上是在付出，實際上卻被討好推著走，讓反饋失去作用。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""友誼""]","[""友誼"", ""界線""]",TruthOS seed dataset,motive 動機 MOT_001 討好 朋友互動中的討好盲點 在朋友互動中，表面上是在付出，實際上卻被討好推著走，讓反饋失去作用。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 友誼 友誼 界線,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_006,motive,MOT_001,金錢選擇中的討好盲點,在金錢選擇中，表面上是在付出，實際上卻被討好推著走，讓信任開始鬆動。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""金錢""]","[""金錢"", ""價值""]",TruthOS seed dataset,motive 動機 MOT_001 討好 金錢選擇中的討好盲點 在金錢選擇中，表面上是在付出，實際上卻被討好推著走，讓信任開始鬆動。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 金錢 金錢 價值,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_007,motive,MOT_001,健康壓力中的討好盲點,在健康壓力中，表面上是在付出，實際上卻被討好推著走，讓決定越來越僵硬。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""健康""]","[""健康"", ""壓力""]",TruthOS seed dataset,motive 動機 MOT_001 討好 健康壓力中的討好盲點 在健康壓力中，表面上是在付出，實際上卻被討好推著走，讓決定越來越僵硬。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 健康 健康 壓力,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_008,motive,MOT_001,創作卡關中的討好盲點,在創作卡關中，表面上是在付出，實際上卻被討好推著走，讓內在更難安定。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""創作""]","[""創作"", ""表達""]",TruthOS seed dataset,motive 動機 MOT_001 討好 創作卡關中的討好盲點 在創作卡關中，表面上是在付出，實際上卻被討好推著走，讓內在更難安定。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 創作 創作 表達,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_009,motive,MOT_001,靈性實踐中的討好盲點,在靈性實踐中，表面上是在付出，實際上卻被討好推著走，使互動落入重複循環。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""靈性""]","[""靈性"", ""自我觀察""]",TruthOS seed dataset,motive 動機 MOT_001 討好 靈性實踐中的討好盲點 在靈性實踐中，表面上是在付出，實際上卻被討好推著走，使互動落入重複循環。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 靈性 靈性 自我觀察,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_010,motive,MOT_001,重大失落中的討好盲點,在重大失落中，表面上是在付出，實際上卻被討好推著走，讓看見真相的空間縮小。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""失落""]","[""失落"", ""轉化""]",TruthOS seed dataset,motive 動機 MOT_001 討好 重大失落中的討好盲點 在重大失落中，表面上是在付出，實際上卻被討好推著走，讓看見真相的空間縮小。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 失落 失落 轉化,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_011,motive,MOT_001,教養現場中的討好盲點,在教養現場中，表面上是在付出，實際上卻被討好推著走，讓支持變成壓力。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""教養""]","[""親子"", ""教養""]",TruthOS seed dataset,motive 動機 MOT_001 討好 教養現場中的討好盲點 在教養現場中，表面上是在付出，實際上卻被討好推著走，讓支持變成壓力。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 教養 親子 教養,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
tp_mot_012,motive,MOT_001,團隊回饋中的討好盲點,在團隊回饋中，表面上是在付出，實際上卻被討好推著走，讓改變停在表面。,只要沒有討好，我就不會被需要。,真實動機不必用討好換取位置。,如果不靠討好，你還想守護什麼？,"[""動機"", ""討好"", ""回饋""]","[""團隊"", ""回饋""]",TruthOS seed dataset,motive 動機 MOT_001 討好 團隊回饋中的討好盲點 在團隊回饋中，表面上是在付出，實際上卻被討好推著走，讓改變停在表面。 只要沒有討好，我就不會被需要。 真實動機不必用討好換取位置。 動機 討好 回饋 團隊 回饋,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,[],dialogue,,
